brand,semanticVar,addrCode,f0_raw8,f1_raw8,f2_raw8,f3,f4
fanuc,systemInfo,40,a011240100000000,2800000000000000,2800000000000000,0x10,
fanuc,spindleSpeed,40,e011240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,spindleLoad,40,2012240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,spindleSpeedSet,40,6012240100000000,2800000000000000,2800000000000000,,0x1c
fanuc,feedRate,40,a012240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,feedRateSet,40,e012240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,runInfo,40,6013240100000000,2800000000000000,2800000000000000,0x20,
fanuc,progNum,40,2014240100000000,2800000000000000,2800000000000000,0x11,
fanuc,runTime,68,e027240100000000,4400000000000000,4400000000000000,0x12,
fanuc,powerOnTime,40,e013240100000000,2800000000000000,2800000000000000,0xe,0x24
fanuc,cutTime,68,4028240100000000,4400000000000000,4400000000000000,0x12,
fanuc,cycleTime,68,a028240100000000,4400000000000000,4400000000000000,0x12,0x24
fanuc,alarms,40,6014240100000000,2800000000000000,2800000000000000,0x21,
fanuc,toolNum,40,2013240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,products,40,a013240100000000,2800000000000000,2800000000000000,0xd,0x1c
fanuc,abs,,,,,0xc,
fanuc,mach,,,,,0xc,
fanuc,rel,,,,,0xc,
fanuc,res,,,,,0xc,
mitsubishi,modeOrg,74803,5000000000000000,5000000000000000,2033240100000000,,
mitsubishi,statusOrg,74803,5000000000000000,5000000000000000,8033240100000000,,
mitsubishi,alarmOrg,74740,5400000000000000,5400000000000000,8039240100000000,,
mitsubishi,spindleSpeed,74804,5000000000000000,5000000000000000,e033240100000000,,
mitsubishi,spindleSpeedSet,74804,5000000000000000,5000000000000000,4034240100000000,,
mitsubishi,spindleLoad,74805,5000000000000000,5000000000000000,a034240100000000,,
mitsubishi,spindleTemp,74805,5000000000000000,5000000000000000,0035240100000000,,
mitsubishi,spindleCurrent,74805,5000000000000000,5000000000000000,6035240100000000,,
mitsubishi,feedRate,74806,5000000000000000,5000000000000000,c035240100000000,,
mitsubishi,feedRateSet,74806,5000000000000000,5000000000000000,2036240100000000,,
mitsubishi,runTime,74807,5000000000000000,5000000000000000,4037240100000000,,
mitsubishi,powerOnTime,74808,5000000000000000,5000000000000000,a037240100000000,,
mitsubishi,progName,74809,5000000000000000,5000000000000000,0038240100000000,,
mitsubishi,products,74806,5000000000000000,5000000000000000,8036240100000000,,
mitsubishi,toolNum,74807,5000000000000000,5000000000000000,e036240100000000,,
mitsubishi,absX,,,,,,
mitsubishi,absY,,,,,,
mitsubishi,absZ,,,,,,
mitsubishi,machX,,,,,,
mitsubishi,machY,,,,,,
mitsubishi,machZ,,,,,,
mitsubishi,relX,,,,,,
mitsubishi,relY,,,,,,
mitsubishi,relZ,,,,,,
mitsubishi,resX,,,,,,
mitsubishi,resY,,,,,,
mitsubishi,resZ,,,,,,
simens,CNC_ID,74755,2400000000000000,2400000000000000,a003240100000000,,
simens,ncType,74756,2400000000000000,2400000000000000,e003240100000000,,
simens,versionInfo,74756,2400000000000000,2400000000000000,2004240100000000,,
simens,manufactureDate,74778,2400000000000000,2400000000000000,6004240100000000,,
simens,modeOrg,74778,2e00000000000000,2e00000000000000,601a240100000000,,
simens,statusOrg,74756,2e00000000000000,2e00000000000000,a01a240100000000,,
simens,products,74756,2400000000000000,2400000000000000,a004240100000000,,
simens,setProducts,74757,2400000000000000,2400000000000000,e004240100000000,,
simens,feedRateSet,74757,2400000000000000,2400000000000000,2005240100000000,,
simens,feedRateAct,74757,2400000000000000,2400000000000000,6005240100000000,,
simens,feedRate,74757,2400000000000000,2400000000000000,a005240100000000,,
simens,spindleSpeedSet,74758,2400000000000000,2400000000000000,e005240100000000,,
simens,spindleSpeed,74758,2400000000000000,2400000000000000,2006240100000000,,
