key=systemInfo brand=fanuc cur_fields=[(735548, 19594448), (735549, 19594456), (735550, 19594464)] near=[19594448, 19594456, 19594464] f3=0x10 f4=None
key=spindleSpeed brand=fanuc cur_fields=[(735567, 19594480), (735568, 19594488), (735569, 19594496)] near=[19594480, 19594488, 19594496] f3=0xd f4=0x1c
key=spindleLoad brand=fanuc cur_fields=[(735587, 19594512), (735588, 19594520), (735589, 19594528)] near=[19594512, 19594520, 19594528] f3=0xd f4=0x1c
key=systemInfo brand=fanuc cur_fields=[(735548, 19594448), (735549, 19594456), (735550, 19594464)] near=[19594448, 19594456, 19594464] f3=0x10 f4=None
key=spindleSpeed brand=fanuc cur_fields=[(735567, 19594480), (735568, 19594488), (735569, 19594496)] near=[19594480, 19594488, 19594496] f3=0xd f4=0x1c
key=spindleLoad brand=fanuc cur_fields=[(735587, 19594512), (735588, 19594520), (735589, 19594528)] near=[19594512, 19594520, 19594528] f3=0xd f4=0x1c
key=systemInfo brand=fanuc cur_fields=[(735548, 19594448), (735549, 19594456), (735550, 19594464)] near=[19594448, 19594456, 19594464] f3=0x10 f4=None
key=spindleSpeed brand=fanuc cur_fields=[(735567, 19594480), (735568, 19594488), (735569, 19594496)] near=[19594480, 19594488, 19594496] f3=0xd f4=0x1c
key=spindleLoad brand=fanuc cur_fields=[(735587, 19594512), (735588, 19594520), (735589, 19594528)] near=[19594512, 19594520, 19594528] f3=0xd f4=0x1c
key=systemInfo brand=fanuc cur_fields=[(735548, 19594448), (735549, 19594456), (735550, 19594464)] near=[19594448, 19594456, 19594464] f3=0x10 f4=None
key=spindleSpeed brand=fanuc cur_fields=[(735567, 19594480), (735568, 19594488), (735569, 19594496)] near=[19594480, 19594488, 19594496] f3=0xd f4=0x1c
key=spindleLoad brand=fanuc cur_fields=[(735587, 19594512), (735588, 19594520), (735589, 19594528)] near=[19594512, 19594520, 19594528] f3=0xd f4=0x1c
