brand,semanticVar,addrCode
fanuc,systemInfo,40
fanuc,spindleSpeed,40
fanuc,spindleLoad,40
fanuc,spindleSpeedSet,40
fanuc,feedRate,40
fanuc,feedRateSet,40
fanuc,runInfo,40
fanuc,progNum,40
fanuc,runTime,68
fanuc,powerOnTime,40
fanuc,cutTime,68
fanuc,cycleTime,68
fanuc,alarms,40
fanuc,toolNum,40
fanuc,products,40
fanuc,input_start,6496
mitsubishi,modeOrg,74803
mitsubishi,statusOrg,74803
mitsubishi,alarmOrg,74740
mitsubishi,spindleSpeed,74804
mitsubishi,spindleSpeedSet,74804
mitsubishi,spindleLoad,74805
mitsubishi,spindleTemp,74805
mitsubishi,spindleCurrent,74805
mitsubishi,feedRate,74806
mitsubishi,feedRateSet,74806
mitsubishi,runTime,74807
mitsubishi,powerOnTime,74808
mitsubishi,progName,74809
mitsubishi,products,74806
mitsubishi,toolNum,74807
simens,CNC_ID,74755
simens,ncType,74756
simens,versionInfo,74756
simens,manufactureDate,74778
simens,modeOrg,74778
simens,statusOrg,74756
simens,products,74756
simens,setProducts,74757
simens,feedRateSet,74757
simens,feedRateAct,74757
simens,feedRate,74757
simens,spindleSpeedSet,74758
simens,spindleSpeed,74758
simens,spindleRate,74758
simens,runTime,74758
simens,remainTime,74759
simens,progName,74759
simens,currentPro,78183
simens,axisName,74762
simens,machX,74761
simens,machY,74761
simens,machZ,74761
simens,relX,74761
simens,relY,74761
simens,relZ,74761
simens,resX,74761
simens,resY,74761
simens,resZ,74761
simens,toolNum,74759
simens,toolDNum,74759
simens,toolHNum,74760
simens,toolXLen,74760
simens,toolZLen,74760
simens,toolRadiu,74760
simens,toolEdge,74761
simens,driveVoltage,74762
simens,driverCurrent,74762
simens,driverLoad1,74762
simens,driverLoad2,74763
simens,driverLoad3,74763
simens,driverTemp,74763
simens,almCount,74769
simens,alarms,74763
